itemid,name,quality,tips1,tips2,icon,flash,model,dropModel,droptime,dropMinLev,dropMaxLev,itemtype,level,cslevel,cls,buffertype,bufferparam,uselv,interval,timeout,sell,price,dropvalue,onlyone,isdelete,bind,overlying,durable,career,sex,critRate,critical,holyAtt,pkatt,pkdef,phyAtt,phyAttMax,magicAtt,magicAttMax,taoAtt,taoAttMax,phyDef,phyDefMax,magicDef,magicDefMax,accurate,attackSpeed,dodge,hp,mp,neili,nelirec,hpper,heathRecover,magicRecover,poisonRecover,usecd,xlvalue,reinlv,effect,luck,efftype,bstype,cast,nbvalue,shenqi,autonopen,suitid,ispl,pureatk,puredef,diaoluo,flag,task,link,light,suitlevel,skilladd,fly,uniondonate,pubcd,pinfen,leixing,shuangji,boxid,groundname,log,timelimit,expadd,buffid,qhmax,zlmax,bagorder,showspecialbg,notice,xinfa,kangxing,kangxingshow,xllv,back
11,声望,5,积累声望可用来升级官位等级,BOSS掉落、活动奖励、商城购买,100001,0,0,100001,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
12,法神值,1,,行会商店,1310055,0,0,1310055,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
13,贡献度,1,可用于升级行会图腾、兑换行会仓库装备,行会捐献,1310055,0,0,1310055,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
14,荣誉值,5,,活动奖励、击杀玩家,100002,0,0,100002,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,1,,,,,,999999999,,,,,,,
15,寻宝积分,1,可用于在积分商城中购买道具,寻宝,1310055,0,0,1310055,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,1,,,,,,999999999,,,,,,,
16,BOSS积分 ,1,可用于在积分商城中购买道具,寻宝,1310055,0,0,1310055,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
17,宝石碎片,1,可用于在神炉中升级特殊装备,BOSS掉落,202108,0,0,10009,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
18,护盾碎片,1,可用于在神炉中升级特殊装备,BOSS掉落,141702101,0,0,141702101,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
19,血符碎片,1,可用于在神炉中升级特殊装备,BOSS掉落,212146,0,0,10011,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
20,魂珠碎片,1,可用于在神炉中升级特殊装备,BOSS掉落,214136,0,0,10012,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
21,宝阁经验,1,提升传说宝阁等级,,214136,0,0,10012,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
22,内力经验,1,提升内力等级,,214136,0,0,10012,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
23,炼魂神力,1,提升炼魂等级,,214136,0,0,10012,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
24,灵力,1,绑定金币可用于强化、伏魔任务、升级法神、购买金币道具,挖矿、活动奖励,10001,0,0,11,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
25,伏魔经验,1,提升伏魔等级,,214136,0,0,10012,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,1,,,,,,999999999,,,,,,,
26,元力,1,提升心法等级,,214136,0,0,10012,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,1,,,,,,999999999,,,,,,,
100,灵魂圣水（洗红）,1,消除罪恶，减少自身善恶值100点，消除红名必备品。,商城购买,100,0,0,100,120000,0,0,2,1,0,2,0,0,1,0,,1,0,0,0,1,1,999,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,其他,0,,1,,,,,,,100000001,,,,,,,
101,小飞鞋,3,立即传送到目标地点,活动奖励、商城购买,101,0,0,101,120000,0,0,2,1,0,2,10,0,1,0,,1,0,0,0,1,1,999,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,其他,0,,1,,,,,,,100000001,,,,,,,
102,还魂丹,3,人物死亡后可以消耗还魂丹原地复活,活动奖励、商城购买,2000102,0,0,2000102,120000,0,0,2,1,0,2,0,0,1,0,,0,0,0,0,1,0,999,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,其他,0,,1,,,,,,,100000001,,,,,,,
2000102,还魂丹,3,人物死亡后可以消耗还魂丹原地复活,活动奖励、商城购买,2000102,0,0,2000102,120000,0,0,2,1,0,2,0,0,1,0,,0,0,0,0,1,1,999,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,其他,0,,1,,,,,,,100000001,,,,,,,
110102001,乌木剑,1,,【产出途径】普通怪物掉落、服装店购买,110102001,,1002/1001,110102001,120000,1,25,1,1,,1,0,,1,0,,1,100,50,0,1,0,1,100,1,2,,,,,,5,8,5,8,5,8,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,1,,0,8,,,,0,0,0,0,0,,,,,,,,,1,武器,0,,1,,,,,,,1000251,,,,,,,
120102001,乌木剑,1,,【产出途径】普通怪物掉落、服装店购买,110102001,,1002/1001,110102001,120000,1,25,1,1,,1,0,,1,0,,1,100,50,0,1,0,1,100,2,2,,,,,,5,8,5,8,5,8,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,1,,0,8,,,,0,0,0,0,0,,,,,,,,,2,武器,0,,1,,,,,,,1000251,,,,,,,
130102001,乌木剑,1,,【产出途径】普通怪物掉落、服装店购买,110102001,,1002/1001,110102001,120000,1,25,1,1,,1,0,,1,0,,1,100,50,0,1,0,1,100,3,2,,,,,,5,8,5,8,5,8,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,1,,0,8,,,,0,0,0,0,0,,,,,,,,,3,武器,0,,1,,,,,,,1000251,,,,,,,
110501001,麻布衣（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501001,,1005,110501001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,1,1,,,,,,1,1,1,1,1,1,2,6,1,3,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,4,衣服,0,,1,,,,,,,1000255,,,,,,,
110500001,麻布衣（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500001,,1006,110500001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,1,0,,,,,,1,1,1,1,1,1,2,6,1,3,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,5,衣服,0,,1,,,,,,,1000255,,,,,,,
120501001,麻布衣（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501001,,1005,110501001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,2,1,,,,,,1,1,1,1,1,1,2,4,2,4,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,6,衣服,0,,1,,,,,,,1000255,,,,,,,
120500001,麻布衣（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500001,,1006,110500001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,2,0,,,,,,1,1,1,1,1,1,2,4,2,4,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,7,衣服,0,,1,,,,,,,1000255,,,,,,,
130501001,麻布衣（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501001,,1005,110501001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,3,1,,,,,,1,1,1,1,1,1,2,4,2,4,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,8,衣服,0,,1,,,,,,,1000255,,,,,,,
130500001,麻布衣（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500001,,1006,110500001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,3,0,,,,,,1,1,1,1,1,1,2,4,2,4,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,9,衣服,0,,1,,,,,,,1000255,,,,,,,
140501001,麻布衣（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501001,,1005,110501001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,4,1,,,,,,1,1,1,1,1,1,2,6,1,3,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,10,衣服,0,,1,,,,,,,1000255,,,,,,,
140500001,麻布衣（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500001,,1006,110500001,120000,1,25,1,1,,5,0,,1,0,,1,100,50,0,1,0,1,100,4,0,,,,,,1,1,1,1,1,1,2,6,1,3,0,0,0,0,0,,,,,,,1,,,,,1,,0,1,,,,0,0,0,0,0,,,,,,,,,11,衣服,0,,1,,,,,,,1000255,,,,,,,
110501010,轻型盔甲（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501010,,1007,110501010,120000,20,25,1,8,,5,0,,8,0,,1,100,50,0,1,0,1,100,1,1,,,,,,1,2,1,2,1,2,4,10,2,5,0,0,0,0,0,,,,,,,1,,,,,1,,0,2,,,,0,0,0,0,0,,,,,,,,,12,衣服,0,,1,,,,,,,1005955,,,,,,,
110500010,轻型盔甲（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500010,,1008,110500010,120000,20,25,1,8,,5,0,,8,0,,1,100,50,0,1,0,1,100,1,0,,,,,,1,2,1,2,1,2,4,10,2,5,0,0,0,0,0,,,,,,,1,,,,,1,,0,2,,,,0,0,0,0,0,,,,,,,,,13,衣服,0,,1,,,,,,,1005945,,,,,,,
120501010,轻型盔甲（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501010,,1007,110501010,120000,20,25,1,8,,5,0,,8,0,,1,100,50,0,1,0,1,100,2,1,,,,,,1,2,1,2,1,2,2,2,3,9,0,0,0,0,0,,,,,,,1,,,,,1,,0,2,,,,0,0,0,0,0,,,,,,,,,14,衣服,0,,1,,,,,,,1005935,,,,,,,
120500010,轻型盔甲（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500010,,1008,110500010,120000,20,25,1,8,,5,0,,8,0,,1,100,50,0,1,0,1,100,2,0,,,,,,1,2,1,2,1,2,2,5,3,9,0,0,0,0,0,,,,,,,1,,,,,1,,0,2,,,,0,0,0,0,0,,,,,,,,,15,衣服,0,,1,,,,,,,1005925,,,,,,,
130501010,轻型盔甲（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501010,,1007,110501010,120000,20,25,1,8,,5,0,,8,0,,1,100,50,0,1,0,1,100,3,1,,,,,,1,2,1,2,1,2,2,5,3,9,0,0,0,0,0,,,,,,,1,,,,,1,,0,2,,,,0,0,0,0,0,,,,,,,,,16,衣服,0,,1,,,,,,,1005915,,,,,,,
130500010,轻型盔甲（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500010,,1008,110500010,120000,20,25,1,8,,5,0,,8,0,,1,100,50,0,1,0,1,100,3,0,,,,,,1,2,1,2,1,2,2,5,3,9,0,0,0,0,0,,,,,,,1,,,,,1,,0,2,,,,0,0,0,0,0,,,,,,,,,17,衣服,0,,1,,,,,,,1005905,,,,,,,
110102020,炼狱,1,,【产出途径】普通怪物掉落、服装店购买,110102020,,3004/3003,110102020,120000,1,25,1,20,,1,0,,20,0,,1,100,50,0,1,0,1,100,1,2,,,,,,14,25,14,25,14,25,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,1,,0,25,,,,0,0,0,0,0,,,,,,,,,18,武器,0,,1,,,,,,,1000191,,,,,,,
120102020,偃月,1,,【产出途径】普通怪物掉落、服装店购买,120102020,,3014/3013,120102020,120000,1,25,1,20,,1,0,,20,0,,1,100,50,0,1,0,1,100,2,2,,,,,,14,25,14,25,14,25,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,1,,0,25,,,,0,0,0,0,0,,,,,,,,,19,武器,0,,1,,,,,,,1000191,,,,,,,
130102020,降魔,1,,【产出途径】普通怪物掉落、服装店购买,130102020,,3028/3027,130102020,120000,1,25,1,20,,1,0,,20,0,,1,100,50,0,1,0,1,100,3,2,,,,,,14,25,14,25,14,25,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,1,,0,25,,,,0,0,0,0,0,,,,,,,,,20,武器,0,,1,,,,,,,1000191,,,,,,,
110501020,中型盔甲（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501010,,1007,110501010,120000,1,25,1,20,,5,0,,20,0,,1,100,50,0,1,0,1,100,1,1,,,,,,2,4,2,4,2,4,8,19,4,9,0,0,0,0,0,,,,,,,1,,,,,1,,0,4,,,,0,0,0,0,0,,,,,,,,,21,衣服,0,,1,,,,,,,1000195,,,,,,,
110500020,中型盔甲（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500010,,1008,110500010,120000,1,25,1,20,,5,0,,20,0,,1,100,50,0,1,0,1,100,1,0,,,,,,2,4,2,4,2,4,8,19,4,9,0,0,0,0,0,,,,,,,1,,,,,1,,0,4,,,,0,0,0,0,0,,,,,,,,,22,衣服,0,,1,,,,,,,1000195,,,,,,,
120501020,中型盔甲（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501010,,1007,110501010,120000,1,25,1,20,,5,0,,20,0,,1,100,50,0,1,0,1,100,2,1,,,,,,2,4,2,4,2,4,4,9,6,16,0,0,0,0,0,,,,,,,1,,,,,1,,0,4,,,,0,0,0,0,0,,,,,,,,,23,衣服,0,,1,,,,,,,1000195,,,,,,,
120500020,中型盔甲（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500010,,1008,110500010,120000,1,25,1,20,,5,0,,20,0,,1,100,50,0,1,0,1,100,2,0,,,,,,2,4,2,4,2,4,4,9,6,16,0,0,0,0,0,,,,,,,1,,,,,1,,0,4,,,,0,0,0,0,0,,,,,,,,,24,衣服,0,,1,,,,,,,1000195,,,,,,,
130501020,中型盔甲（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501010,,1007,110501010,120000,1,25,1,20,,5,0,,20,0,,1,100,50,0,1,0,1,100,3,1,,,,,,2,4,2,4,2,4,5,13,5,13,0,0,0,0,0,,,,,,,1,,,,,1,,0,4,,,,0,0,0,0,0,,,,,,,,,25,衣服,0,,1,,,,,,,1000195,,,,,,,
130500020,中型盔甲（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500010,,1008,110500010,120000,1,25,1,20,,5,0,,20,0,,1,100,50,0,1,0,1,100,3,0,,,,,,2,4,2,4,2,4,5,13,5,13,0,0,0,0,0,,,,,,,1,,,,,1,,0,4,,,,0,0,0,0,0,,,,,,,,,26,衣服,0,,1,,,,,,,1000195,,,,,,,
110501030,重型盔甲（男）,1,,【产出途径】普通怪物掉落、服装店购买,110501020,,1009,110501020,120000,30,35,1,25,,5,0,,25,0,,1,100,50,0,1,0,1,100,1,1,,,,,,3,7,0,0,0,0,13,33,7,17,0,0,0,0,0,,,,,,,1,,,,,1,,0,7,,,,0,0,0,0,0,,,,,,,,,27,衣服,0,,1,,,,,,,1005805,,,,,,,
110500030,重型盔甲（女）,1,,【产出途径】普通怪物掉落、服装店购买,110500020,,1010,110500020,120000,30,35,1,25,,5,0,,25,0,,1,100,50,0,1,0,1,100,1,0,,,,,,3,7,0,0,0,0,13,33,7,17,0,0,0,0,0,,,,,,,1,,,,,1,,0,7,,,,0,0,0,0,0,,,,,,,,,28,衣服,0,,1,,,,,,,1005795,,,,,,,
120501030,魔法长袍（男）,1,,【产出途径】普通怪物掉落、服装店购买,120501020,,1011,120501020,120000,30,35,1,25,,5,0,,25,0,,1,100,50,0,1,0,1,100,2,1,,,,,,0,0,3,7,0,0,6,16,11,28,0,0,0,0,0,,,,,,,1,,,,,1,,0,7,,,,0,0,0,0,0,,,,,,,,,29,衣服,0,,1,,,,,,,1005785,,,,,,,
120500030,魔法长袍（女）,1,,【产出途径】普通怪物掉落、服装店购买,120500020,,1012,120500020,120000,30,35,1,25,,5,0,,25,0,,1,100,50,0,1,0,1,100,2,0,,,,,,0,0,3,7,0,0,6,16,11,28,0,0,0,0,0,,,,,,,1,,,,,1,,0,7,,,,0,0,0,0,0,,,,,,,,,30,衣服,0,,1,,,,,,,1005775,,,,,,,
130501030,灵魂道袍（男）,1,,【产出途径】普通怪物掉落、服装店购买,130501020,,1003,130501020,120000,30,35,1,25,,5,0,,25,0,,1,100,50,0,1,0,1,100,3,1,,,,,,0,0,0,0,3,7,9,22,9,22,0,0,0,0,0,,,,,,,1,,,,,1,,0,7,,,,0,0,0,0,0,,,,,,,,,31,衣服,0,,1,,,,,,,1005765,,,,,,,
130500030,灵魂道袍（女）,1,,【产出途径】普通怪物掉落、服装店购买,130500020,,1004,130500020,120000,30,35,1,25,,5,0,,25,0,,1,100,50,0,1,0,1,100,3,0,,,,,,0,0,0,0,3,7,9,22,9,22,0,0,0,0,0,,,,,,,1,,,,,1,,0,7,,,,0,0,0,0,0,,,,,,,,,32,衣服,0,,1,,,,,,,1005755,,,,,,,
110501040,战神盔甲（男）,2,,【产出途径】普通怪物掉落、服装店购买,110501020,,1009,110501020,120000,40,35,1,40,,5,0,,40,0,,1,100,50,0,1,0,1,100,1,1,,,,,,5,11,0,0,0,0,22,56,11,28,0,0,0,0,0,,,,,,,1,,,,,1,,0,11,,,,0,0,0,0,0,,,,,,,,,33,衣服,0,,1,,,,,8,8,1000175,,,,,,,
110500040,战神盔甲（女）,2,,【产出途径】普通怪物掉落、服装店购买,110500020,,1010,110500020,120000,40,35,1,40,,5,0,,40,0,,1,100,50,0,1,0,1,100,1,0,,,,,,5,11,0,0,0,0,22,56,11,28,0,0,0,0,0,,,,,,,1,,,,,1,,0,11,,,,0,0,0,0,0,,,,,,,,,34,衣服,0,,1,,,,,8,8,1000175,,,,,,,
120501040,恶魔法袍（男）,2,,【产出途径】普通怪物掉落、服装店购买,120501020,,1011,120501020,120000,40,35,1,40,,5,0,,40,0,,1,100,50,0,1,0,1,100,2,1,,,,,,0,0,5,11,0,0,11,27,19,46,0,0,0,0,0,,,,,,,1,,,,,1,,0,11,,,,0,0,0,0,0,,,,,,,,,35,衣服,0,,1,,,,,8,8,1000175,,,,,,,
120500040,恶魔法袍（女）,2,,【产出途径】普通怪物掉落、服装店购买,120500020,,1012,120500020,120000,40,35,1,40,,5,0,,40,0,,1,100,50,0,1,0,1,100,2,0,,,,,,0,0,5,11,0,0,11,27,19,46,0,0,0,0,0,,,,,,,1,,,,,1,,0,11,,,,0,0,0,0,0,,,,,,,,,36,衣服,0,,1,,,,,8,8,1000175,,,,,,,
130501040,幽灵道袍（男）,2,,【产出途径】普通怪物掉落、服装店购买,130501020,,1003,130501020,120000,40,35,1,40,,5,0,,40,0,,1,100,50,0,1,0,1,100,3,1,,,,,,0,0,0,0,5,11,15,37,15,37,0,0,0,0,0,,,,,,,1,,,,,1,,0,11,,,,0,0,0,0,0,,,,,,,,,37,衣服,0,,1,,,,,8,8,1000175,,,,,,,
130500040,幽灵道袍（女）,2,,【产出途径】普通怪物掉落、服装店购买,130500020,,1004,130500020,120000,40,35,1,40,,5,0,,40,0,,1,100,50,0,1,0,1,100,3,0,,,,,,0,0,0,0,5,11,15,37,15,37,0,0,0,0,0,,,,,,,1,,,,,1,,0,11,,,,0,0,0,0,0,,,,,,,,,38,衣服,0,,1,,,,,8,8,1000175,,,,,,,
110501050,天魔神甲,3,,【产出途径】普通怪物掉落、服装店购买,110501040,,1013,110501040,120000,40,35,1,50,,5,0,,50,0,,1,100,50,0,1,0,1,100,1,1,,,,,,8,17,0,0,0,0,35,89,18,44,0,0,0,0,0,,,,,,,1,,,,,1,,0,17,,,,0,0,0,0,0,,,,,,,,,39,衣服,0,,1,,,,,8,8,1000165,,,,,,,
110500050,圣战宝甲,3,,【产出途径】普通怪物掉落、服装店购买,110500040,,1014,110500040,120000,40,35,1,50,,5,0,,50,0,,1,100,50,0,1,0,1,100,1,0,,,,,,8,17,0,0,0,0,35,89,18,44,0,0,0,0,0,,,,,,,1,,,,,1,,0,17,,,,0,0,0,0,0,,,,,,,,,40,衣服,0,,1,,,,,8,8,1000165,,,,,,,
